[ 0.92306381  0.07693619],0,1
[ 0.98806703  0.01193298],0,0
[ 0.76504064  0.23495939],0,1
[ 0.00379821  0.99620181],1,1
[ 0.43063375  0.56936622],1,0
[ 0.3604829   0.63951719],1,1
[  3.04690271e-04   9.99695301e-01],1,1
[ 0.96587491  0.03412516],0,0
[ 0.49152154  0.50847846],1,1
[ 0.22277401  0.77722597],1,1
[ 0.06285653  0.93714345],1,1
[ 0.05877157  0.94122845],1,1
[ 0.1380899  0.8619101],1,1
[ 0.03341371  0.96658629],1,1
[ 0.87277508  0.12722492],0,1
[ 0.91857523  0.0814248 ],0,0
[ 0.08679509  0.91320491],1,1
[ 0.00703935  0.99296063],1,1
[ 0.04128463  0.95871538],1,1
[ 0.01046882  0.98953116],1,1
[ 0.02049411  0.9795059 ],1,1
[ 0.00145053  0.9985494 ],1,1
[ 0.96160042  0.03839952],0,0
[ 0.00110219  0.99889779],1,1
[ 0.31300646  0.6869936 ],1,0
[ 0.00526689  0.9947331 ],1,1
[ 0.82415611  0.17584391],0,1
[ 0.04400545  0.95599449],1,1
[ 0.31660321  0.68339676],1,0
[ 0.96807486  0.03192507],0,0
[ 0.23125532  0.76874465],1,1
[ 0.98878783  0.01121219],0,0
[ 0.05221943  0.94778061],1,1
[  7.26903731e-04   9.99273121e-01],1,1
[ 0.03078408  0.96921587],1,1
[ 0.48305863  0.51694137],1,1
[ 0.08709518  0.91290486],1,1
[ 0.29358897  0.706411  ],1,1
[ 0.02371602  0.97628403],1,1
[  1.54910405e-04   9.99845028e-01],1,1
[ 0.010736    0.98926407],1,1
[ 0.8514728   0.14852713],0,0
[ 0.0413603   0.95863968],1,1
[ 0.97736311  0.02263691],0,0
[  9.99280155e-01   7.19856995e-04],0,0
[  9.99494195e-01   5.05814154e-04],0,0
[ 0.99070215  0.00929787],0,0
[ 0.8461678   0.15383224],0,1
[ 0.00562415  0.99437582],1,1
[ 0.04570043  0.95429957],1,1
[ 0.13710964  0.86289042],1,1
[ 0.00923298  0.990767  ],1,1
[ 0.11762269  0.88237739],1,1
[ 0.06499059  0.93500942],1,1
[ 0.79516846  0.20483157],0,1
[ 0.06032075  0.93967927],1,1
[ 0.07324281  0.92675722],1,1
[ 0.98826689  0.01173315],0,0
[ 0.60353833  0.39646164],0,0
[ 0.09270948  0.90729058],1,1
[ 0.27397051  0.72602952],1,1
[ 0.95701623  0.04298382],0,0
[ 0.00370419  0.99629575],1,1
[ 0.00137652  0.99862349],1,1
[ 0.00523842  0.99476165],1,1
[ 0.99866092  0.00133904],0,0
[ 0.96090889  0.03909109],0,0
[ 0.49898466  0.50101537],1,0
[ 0.65616864  0.34383142],0,1
[ 0.65742266  0.34257731],0,1
[ 0.97688168  0.02311837],0,0
[ 0.9974395   0.00256051],0,0
[ 0.63445431  0.36554572],0,1
[ 0.71634585  0.28365415],0,1
[ 0.9117198   0.08828022],0,0
[ 0.99505001  0.00494996],0,0
[  1.85606390e-04   9.99814451e-01],1,1
[ 0.81959331  0.18040672],0,1
[ 0.9058395   0.09416056],0,1
[ 0.8833279   0.11667217],0,0
[ 0.02353972  0.97646028],1,1
[ 0.86993074  0.13006923],0,1
[ 0.01071007  0.98928994],1,1
[ 0.9974311   0.00256892],0,0
[  9.99448359e-01   5.51672303e-04],0,0
[ 0.27333587  0.72666407],1,0
[ 0.20409626  0.79590374],1,0
[ 0.28954768  0.71045232],1,1
[ 0.9886269   0.01137311],0,0
[ 0.83899152  0.16100848],0,1
[ 0.99774373  0.00225628],0,0
[ 0.47390693  0.52609301],1,1
[  9.99816716e-01   1.83325319e-04],0,0
[ 0.11254341  0.8874566 ],1,1
[ 0.57985461  0.42014542],0,1
[ 0.06956606  0.93043393],1,1
[ 0.36622205  0.63377798],1,1
[ 0.99750239  0.00249758],0,0
[ 0.18218169  0.81781834],1,1
[ 0.13612756  0.86387241],1,1
[ 0.1643806   0.83561945],1,1
[ 0.40737537  0.59262466],1,1
[ 0.38552123  0.61447877],1,1
[ 0.03917201  0.96082801],1,1
[ 0.00942233  0.9905777 ],1,1
[ 0.32858872  0.67141128],1,1
[ 0.53667861  0.46332142],0,1
[ 0.0010993   0.99890065],1,1
[  9.99294519e-01   7.05518527e-04],0,0
[ 0.32749715  0.67250282],1,1
[ 0.0162199   0.98378009],1,1
[ 0.01383506  0.98616493],1,1
[ 0.71525604  0.28474396],0,0
[ 0.08470353  0.91529649],1,1
[ 0.99467999  0.00532003],0,0
[ 0.76983804  0.23016195],0,0
[ 0.11102805  0.88897198],1,1
[  4.42457764e-04   9.99557555e-01],1,1
[  9.99980927e-01   1.91191066e-05],0,0
[ 0.10809951  0.89190054],1,1
[ 0.21896647  0.78103352],1,1
[ 0.70301241  0.29698753],0,1
[ 0.00245749  0.9975425 ],1,1
[ 0.16904187  0.83095813],1,1
[ 0.94495738  0.05504257],0,0
[ 0.00277377  0.99722618],1,1
[ 0.27701625  0.72298372],1,1
[ 0.00169553  0.99830449],1,1
[ 0.12659851  0.87340146],1,0
[ 0.00295482  0.99704522],1,1
[ 0.00918747  0.99081248],1,1
[  2.58503802e-04   9.99741495e-01],1,1
[ 0.00230091  0.99769908],1,1
[ 0.13773257  0.86226737],1,1
[  2.52872676e-04   9.99747097e-01],1,1
[ 0.57641655  0.42358345],0,0
[ 0.07408847  0.92591161],1,1
[ 0.92453516  0.07546483],0,0
[ 0.1554894   0.84451056],1,1
[ 0.16231616  0.83768386],1,1
[ 0.9889648   0.01103524],0,0
[ 0.40711963  0.59288043],1,1
[ 0.83475065  0.16524932],0,0
[ 0.60187942  0.39812058],0,1
[ 0.60568535  0.39431465],0,1
[ 0.10504059  0.89495945],1,1
